Start,End,Period,Start Value,End Value,Total Return [%],Max Drawdown [%],Max DD Duration,Sharpe,Sortino,Calmar,Omega,Total Trades,Closed Trades,Open Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Win [%],Avg Loss [%],Payoff,Profit Factor,Expectancy [%]
2023-05-04 00:00:00+00:00,2025-04-25 00:00:00+00:00,722 days,99.72,162.10000000000008,62.555154432410845,-20.29157175398633,163 days,0.8922421639944934,2.4026246643496356,1.373095740151003,1.4371443576853504,714,714,0,9.38375350140056,2677.7777777777783,-100.0,1159.2906130326296,-99.6239729927601,11.636663126423175,1.3558535327488397,18.509468553039767
2023-05-04 00:00:00+00:00,2025-04-25 00:00:00+00:00,722 days,99.49,172.14000000000013,73.0224143129964,-76.10815157302234,258 days,0.27261195403793614,0.9829147852268738,0.4199704543207597,1.4297924332258634,1023,1023,0,13.685239491691103,5455.555555555556,-100.0,709.2917248870523,-99.62275932130494,7.11977593994795,1.1878254530306185,11.079125125586557
2023-05-03 00:00:00+00:00,2025-04-25 00:00:00+00:00,723 days,99.47,190.30999999999995,91.32401729164567,-118.36734693877548,357 days,0.09784767927473485,0.09239909713987098,0.3276763035188559,0.8361858398097196,1346,1346,0,17.75631500742942,1233.3333333333335,-100.0,474.10366101553063,-99.03952118474476,4.787014873902255,1.1354196344224683,2.7295876903413046
2023-05-03 00:00:00+00:00,2025-04-25 00:00:00+00:00,723 days,98.44,176.99,79.79479886225114,-157.26417955717312,192 days,0.025173609706230855,0.020200367927026442,0.2193519336924231,0.9006874074527148,1685,1685,0,22.967359050445104,2172.7272727272725,-100.0,334.5441240431442,-97.78173510656868,3.421335525275114,1.0785812707323297,1.5120972322674646
2023-05-03 00:00:00+00:00,2025-04-25 00:00:00+00:00,723 days,96.25,208.36000000000027,116.47792207792236,-178.48587715365386,275 days,0.0655972435102617,0.0946378699281729,0.26737381663684573,1.2564147413343525,1977,1977,0,28.12341932220536,2172.7272727272725,-100.0,266.7638694129933,-97.05088820797259,2.748700958216259,1.07801913758469,5.2662616338367485
2023-05-03 00:00:00+00:00,2025-05-02 00:00:00+00:00,730 days,91.69,82.10000000000039,-10.459155851237433,-269.6205999178195,667 days,-0.0008970307303293923,-0.001284535398908496,-0.019944900473105587,0.8851859452472531,2228,2228,0,30.789946140035905,1411.1111111111113,-100.0,217.0741336517181,-96.19437309608041,2.256619869385719,0.9901892542188947,0.2608314052615128
2023-05-03 00:00:00+00:00,2025-05-02 00:00:00+00:00,730 days,89.74,218.8600000000004,143.8823267216408,-314.7774922223723,289 days,0.014979987196178912,0.012311389136503745,0.17858649792332254,0.6978246034219725,2478,2478,0,34.422921711057306,1250.0,-100.0,180.9112267235914,-95.04360717829039,1.9034549728760155,1.0526906078082818,-0.051890746367391216
2023-05-03 00:00:00+00:00,2025-05-02 00:00:00+00:00,730 days,95.96,150.17000000000039,56.49228845352272,-490.8015301129786,304 days,0.00634600862769977,0.004060165967486727,0.0511735675494285,0.6535183783081386,2657,2657,0,37.786977794505084,1149.9999999999998,-100.0,152.5175627542237,-93.10732329961468,1.6380834218961473,1.0184913532559818,-0.29310214867236084
2023-05-03 00:00:00+00:00,2025-05-02 00:00:00+00:00,730 days,83.12,169.3800000000003,103.77767083734395,-557.0807678377383,619 days,0.011459830720437018,0.006052955670510513,0.0768030851627265,0.6845706815706151,2801,2801,0,41.19957158157801,1715.3846153846152,-100.0,131.0852603282309,-91.43987327240681,1.4335678259058524,1.0218182275598995,0.2395284323900313
2023-05-03 00:00:00+00:00,2025-05-02 00:00:00+00:00,730 days,79.69,370.5400000000001,364.976785042038,-841.1845902873634,280 days,0.032881791156407165,0.02084068630465841,0.13759967093569708,0.6993423556358146,2859,2859,0,43.72158097236796,929.4117647058822,-100.0,108.54212357568555,-89.06738138120916,1.2186517880336498,1.078695448555912,-2.669381662384964
2023-05-03 00:00:00+00:00,2025-05-02 00:00:00+00:00,730 days,72.57,330.46000000000004,355.36723163841816,-648.1353987378072,291 days,0.028938082021896766,0.046699892227845964,0.1751241583954523,1.2326264591076503,2736,2736,0,45.50438596491228,4344.444444444445,-100.0,102.51017006309056,-86.11511992795054,1.190385267405505,1.0645047526282203,-0.28233994299214515
2023-05-03 00:00:00+00:00,2025-04-25 00:00:00+00:00,723 days,75.98,153.86999999999983,102.51381942616456,-900.0,364 days,0.0017516258862539773,0.013088037098531928,0.04758793559704174,5.731753753772658,2270,2270,0,48.89867841409692,1823.076923076923,-100.0,87.40254889498681,-85.28913093068027,1.0247794524489204,1.0157943190880516,-0.8451817648254405
2023-05-03 00:00:00+00:00,2025-04-25 00:00:00+00:00,723 days,88.73,111.24999999999991,25.380367406739435,-371.2619849701996,660 days,0.0008330396375130239,0.004263042889779408,0.03260450419801902,3.363659507038329,1380,1380,0,49.927536231884055,608.5714285714286,-100.0,81.77087432734515,-82.02430719162676,0.996910271199371,1.0050107341059515,-0.24540859266179638
2023-05-03 00:00:00+00:00,2025-04-25 00:00:00+00:00,723 days,98.06,55.60000000000007,-43.30002039567604,-216.10569361434412,660 days,-0.0038193778750449385,-0.012219345770921248,-0.11532267192396482,1.9906740648590466,495,495,0,48.888888888888886,488.235294117647,-100.0,82.79192867431819,-76.73103461547778,1.0789888223091655,0.946412407217428,1.257969659533586
2023-05-04 00:00:00+00:00,2025-04-25 00:00:00+00:00,722 days,99.04,149.32999999999998,50.77746365105005,-42.72338693262772,492 days,0.2932389845055298,0.2614071044545943,0.5404216255706024,1.44922471155009,111,111,0,58.55855855855856,310.958904109589,-100.0,100.15230964858124,-76.5003225651211,1.309174998096594,1.44072187974627,26.94491251497487
2023-05-03 00:00:00+00:00,2025-04-11 00:00:00+00:00,709 days,93.85,188.11999999999998,100.44752264251464,-48.04452001855001,308 days,0.41839933730277157,0.2737137863411991,0.8966711517667836,1.8728661152079813,59,59,0,61.016949152542374,316.12903225806457,-100.0,98.08056960308534,-63.879317928827625,1.5354041461802033,3.559395875689805,34.94366429403453
2023-05-04 00:00:00+00:00,2025-04-11 00:00:00+00:00,708 days,97.72,242.89,148.5571019238641,-50.7455160988259,289 days,0.3553019629376063,0.25610467696125494,1.1814729780728015,2.5660516114934273,37,37,0,72.97297297297297,310.71428571428567,-100.0,89.4067431598294,-45.756654395839185,1.9539615459289235,10.320939334637965,52.87609517181087
2023-05-18 00:00:00+00:00,2024-06-28 00:00:00+00:00,407 days,98.9,109.78,11.001011122345794,-28.977932636469223,3 days,0.21582166801215244,0.04441561567474124,0.3388424756438688,1.7737122370199916,6,6,0,83.33333333333334,98.4126984126984,-62.903225806451616,58.77440571124781,-62.903225806451616,0.9343623472044523,26.076923076923077,38.494800458297924
2024-06-25 00:00:00+00:00,2024-06-28 00:00:00+00:00,3 days,99.38,99.61,0.23143489635741865,0.0,,15.324101415473187,,,,1,1,0,0.0,-62.903225806451616,-62.903225806451616,,-62.903225806451616,,0.0,
